клюква,100,"0,50","0,00","3,80","17,2",ягоды,10,,,,,,,,,,,,,
Козинак кунжутный на фруктозе,100,"12,20","28,60","60,20",547,сладости,,,,,,,,,,,,,,
Кокосовый орех,100,"3,40","33,50","29,50",380,орехи,,,,,,,,,,,,,,
Колбаса армавирская,100,"15,20","40,20","0,00",423,колбаса,,,,,,,,,,,,,,
Колбаса диетическая,100,"12,10","13,50","0,00",170,колбаса,,,,,,,,,,,,,,
Колбаса для завтрака,100,"13,00","13,90","2,50",187,колбаса,,,,,,,,,,,,,,
Колбаса докторская,100,"12,80","22,20","1,50",257,колбаса,,,,,,,,,,,,,,
Колбаса закусочная,100,"15,00","33,00","2,30",366,колбаса,,,,,,,,,,,,,,
Колбаса зернистая,100,"9,90","63,20","0,00",608,колбаса,,,,,,,,,,,,,,
Колбаса краковская,100,"16,20","44,60","0,00",466,колбаса,,,,,,,,,,,,,,
Колбаса кубанская,100,"9,50","45,60","0,00",448,колбаса,,,,,,,,,,,,,,
Колбаса любительская,100,"12,20","28,00","0,00",301,колбаса,,,,,,,,,,,,,,
Колбаса майкопская,100,"23,60","41,40","0,00",467,колбаса,,,,,,,,,,,,,,
Колбаса минская,100,"17,40","23,00","2,70",287,колбаса,,,,,,,,,,,,,,
Колбаса молочная,100,"11,70","22,80","0,00",252,колбаса,,,,,,,,,,,,,,
Колбаса московская,100,"11,50","21,80","2,00",250,колбаса,,,,,,,,,,,,,,
Колбаса одесская,100,"14,80","38,10","0,00",402,колбаса,,,,,,,,,,,,,,
Колбаса отдельная,100,"11,00","21,00","1,80",240,колбаса,,,,,,,,,,,,,,
Колбаса полтавская,100,"16,40","39,00","0,00",417,колбаса,,,,,,,,,,,,,,
Колбаса прима,100,"13,00","19,40","0,00",227,колбаса,,,,,,,,,,,,,,
Колбаса русская,100,"11,80","28,90","0,00",302,колбаса,,,,,,,,,,,,,,
Колбаса салями,100,"19,30","45,00","1,90",485,колбаса,,,,,,,,,,,,,,
Колбаса свиная,100,"10,20","25,10","1,90",274,колбаса,,,,,,,,,,,,,,
Колбаса сервелат,100,"16,10","40,10","0,00",425,колбаса,,,,,,,,,,,,,,
Колбаса советская,100,"23,00","47,00","0,00",515,колбаса,,,,,,,,,,,,,,
Колбаса степная,100,"11,10","20,10","2,90",237,колбаса,,,,,,,,,,,,,,
Колбаса столичная,100,"15,10","28,70","0,00",319,колбаса,,,,,,,,,,,,,,
Колбаса столовая,100,"11,10","20,20","1,90",234,колбаса,,,,,,,,,,,,,,
Колбаса таллиннская,100,"17,10","33,80","0,00",373,колбаса,,,,,,,,,,,,,,
Колбаса украинская,100,"16,50","34,40","0,00",376,колбаса,,,,,,,,,,,,,,
Колбаса чайная,100,"11,70","18,40","1,90",216,колбаса,,,,,,,,,,,,,,
Колбаса южная,100,"12,40","17,30","2,50",215,колбаса,,,,,,,,,,,,,,
